10-й микрорайон, Белгород, Россия - 3
12-й квартал, Тольятти, Самарская область, Россия - 1
1-й микрорайон, Хабаровск, Россия - 1
15-й квартал, Тольятти, Самарская область, Россия - 1
20-й квартал, Казань, Республика Татарстан, Россия - 1
Абинск, Краснодарский край, Россия - 1
Абакан, Республика Хакасия, Россия - 4
Азов, Ростовская область, Россия - 5
Алагир, Республика Северная Осетия — Алания, Россия - 3
Аксай, Ростовская область, Россия - 2
Азнакаево, Республика Татарстан, Россия - 1
Адыгейск, Республика Адыгея, Россия - 2
Алатырь, Чувашская Республика, Россия - 1
Алушта, Республика Крым, Россия - 1
Алексин, Тульская область, Россия - 1
Анапа, Краснодарский край, Россия - 7
Альметьевск, Республика Татарстан, Россия - 4
Апшеронск, Краснодарский край, Россия - 1
Апатиты, Мурманская область, Россия - 1
Ангарск, Иркутская область, Россия - 2
Ардон, Республика Северная Осетия — Алания, Россия - 3
Арзамас, Нижегородская область, Россия - 4
Армавир, Краснодарский край, Россия - 8
Арсеньев, Приморский край, Россия - 1
Артём, Приморский край, Россия - 3
Архангельск, Россия - 5
Асбест, Свердловская область, Россия - 1
Астрахань, Россия - 31
Ахтубинск, Астраханская область, Россия - 1
Ачинск, Красноярский край, Россия - 1
Баксан, Кабардино-Балкарская Республика, Россия - 3
Балахна, Нижегородская область, Россия - 1
Балабаново, Боровский район, Калужская область, Россия - 2
Балаково, Саратовская область, Россия - 6
Балашов, Саратовская область, Россия - 1
Балашиха, Московская область, Россия - 9
Барнаул, Алтайский край, Россия - 23
Батайск, Ростовская область, Россия - 5
Бахчисарай, Республика Крым, Россия - 1
Белгород, Россия - 30
Бежицкий район, Брянск, Россия - 2
Белгородская область, Россия - 2
Белебей, Республика Башкортостан, Россия - 2
Белово, Кемеровская область, Россия - 2
Белогорск, Амурская область, Россия - 1
Бердск, Новосибирская область, Россия - 3
Березники, Пермский край, Россия - 3
Белореченск, Краснодарский край, Россия - 6
Берёзовский, Свердловская область, Россия - 1
Бийск, Алтайский край, Россия - 7
Беслан, Правобережный район, Республика Северная Осетия — Алания, Россия - 6
Благовещенск, Амурская область, Россия - 5
Болхов, Орловская область, Россия - 1
Биробиджан, Еврейская автономная область, Россия - 2
Большой Камень, Приморский край, Россия - 1
Борисоглебск, Воронежская область, Россия - 1
Бор, Нижегородская область, Россия - 1
Боровичи, Новгородская область, Россия - 2
Брест, Беларусь - 1
Братск, Иркутская область, Россия - 3
Брянская область, Россия - 2
Бугульма, Республика Татарстан, Россия - 2
Будённовск, Ставропольский край, Россия - 10
Брянск, Россия - 35
Бутурлиновка, Воронежская область, Россия - 1
Ванинский район, Хабаровский край, Россия - 1
Вахитовский район, Казань, Республика Татарстан, Россия - 1
Валуйки, Белгородская область, Россия - 2
Великие Луки, Псковская область, Россия - 4
Видное, Ленинский район, Московская область, Россия - 3
Владивосток, Приморский край, Россия - 19
Владикавказ, Республика Северная Осетия — Алания, Россия - 46
Великий Новгород, Новгородская область, Россия - 10
Владимир, Россия - 12
Волгоград, Россия - 47
Волжск, Республика Марий Эл, Россия - 3
Волгодонск, Ростовская область, Россия - 4
Волжский, Волгоградская область, Россия - 15
Вологда, Россия - 16
Волоколамск, Московская область, Россия - 2
Воркута, Республика Коми, Россия - 2
Волхов, Ленинградская область, Россия - 1
Воронеж, Россия - 56
Восточный микрорайон, Тюмень, Россия - 1
Воткинск, Удмуртская Республика, Россия - 1
Всеволожск, Ленинградская область, Россия - 2
Выборг, Ленинградская область, Россия - 4
Выкса, Нижегородская область, Россия - 1
Вязьма, Смоленская область, Россия - 1
Вышний Волочёк, Тверская область, Россия - 1
Вятские Поляны, Кировская область, Россия - 1
Гагарин, Смоленская область, Россия - 1
Гатчина, Ленинградская область, Россия - 4
Геленджик, Краснодарский край, Россия - 3
Глазов, Удмуртская Республика, Россия - 7
Голицыно, Одинцовский район, Московская область, Россия - 1
Горно-Алтайск, Республика Алтай, Россия - 1
Георгиевск, Ставропольский край, Россия - 9
Городец, Нижегородская область, Россия - 1
Грайворон, Белгородская область, Россия - 1
Горячий Ключ, Краснодарский край, Россия - 3
Грязи, Липецкая область, Россия - 2
Губкин, Белгородская область, Россия - 5
Губкинский, Ямало-Ненецкий автономный округ, Россия - 2
Гуково, Ростовская область, Россия - 2
Дальнегорск, Приморский край, Россия - 1
Гулькевичи, Краснодарский край, Россия - 1
Дербент, Республика Дагестан, Россия - 6
Дальнереченск, Приморский край, Россия - 1
Дербентский район, Республика Дагестан, Россия - 1
Десногорск, Смоленская область, Россия - 1
Джанкой, Республика Крым, Россия - 1
Дзержинский, Московская область, Россия - 2
Дзержинск, Нижегородская область, Россия - 9
Дигора, Республика Северная Осетия — Алания, Россия - 1
Дмитров, Московская область, Россия - 3
Димитровград, Ульяновская область, Россия - 8
Долгопрудный, Московская область, Россия - 3
Домодедово, Московская область, Россия - 2
Донской, Тульская область, Россия - 1
Дятьково, Брянская область, Россия - 1
Дубна, Московская область, Россия - 1
Евпатория, Республика Крым, Россия - 3
Ейск, Краснодарский край, Россия - 2
Егорьевск, Московская область, Россия - 2
Екатеринбург, Свердловская область, Россия - 47
Елабуга, Республика Татарстан, Россия - 1
Елец, Липецкая область, Россия - 7
Ессентуки, Ставропольский край, Россия - 9
Железногорск, Красноярский край, Россия - 2
Железногорск, Курская область, Россия - 6
Жуковка, Брянская область, Россия - 2
Жуковский, Московская область, Россия - 7
Западный район, Великий Новгород, Новгородская область, Россия - 2
Жигулёвск, Самарская область, Россия - 1
Зарайск, городской округ Зарайск, Московская область, Россия - 2
Заринск, Алтайский край, Россия - 1
Затулинский жилмассив, Новосибирск, Россия - 1
Звенигород, Московская область, Россия - 2
Зеленоград, Москва, Россия - 1
Зеленодольск, Республика Татарстан, Россия - 5
Зеленокумск, Советский район, Ставропольский край, Россия - 3
Зерноград, Ростовская область, Россия - 1
Златоуст, Челябинская область, Россия - 3
Иваново, Россия - 14
Избербаш, Республика Дагестан, Россия - 3
Ивантеевка, Московская область, Россия - 3
Изобильный, Ставропольский край, Россия - 3
Иркутск, Россия - 8
Ипатово, Ставропольский край, Россия - 3
Иркутская область, Россия - 1
Ишим, Тюменская область, Россия - 1
Ижевск, Удмуртская Республика, Россия - 21
Казань, Республика Татарстан, Россия - 63
Йошкар-Ола, Республика Марий Эл, Россия - 12
Калач, Воронежская область, Россия - 1
Калининград, Россия - 27
Ишимбай, Республика Башкортостан, Россия - 3
Кабардино-Балкарская Республика, Россия - 7
Калининский район, Челябинск, Россия - 1
Калужская область, Россия - 1
Калуга, Россия - 12
Каменск-Уральский, Свердловская область, Россия - 7
Камышин, Волгоградская область, Россия - 2
Камешково, Владимирская область, Россия - 2
Канаш, Чувашская Республика, Россия - 1
Кандалакша, Мурманская область, Россия - 1
Канск, Красноярский край, Россия - 1
Карасук, Новосибирская область, Россия - 1
Карачаевск, Карачаево-Черкесская Республика, Россия - 1
Каспийск, Республика Дагестан, Россия - 3
Карачев, Брянская область, Россия - 1
Кашира, Московская область, Россия - 2
Кемерово, Россия - 13
Керчь, Республика Крым, Россия - 5
Кизилюрт, Республика Дагестан, Россия - 1
Кизляр, Республика Дагестан, Россия - 4
Кингисепп, Ленинградская область, Россия - 2
Кинель, Самарская область, Россия - 1
Киров, Россия - 9
Кириши, Ленинградская область, Россия - 1
Кировск, Ленинградская область, Россия - 1
Киселёвск, Кемеровская область, Россия - 1
Кисловодск, Ставропольский край, Россия - 20
Ковров, Владимирская область, Россия - 5
Клинцы, Брянская область, Россия - 3
Кирово-Чепецк, Кировская область, Россия - 3
Когалым, Ханты-Мансийский автономный округ, Россия - 1
